id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,roi.times,roi.currency,roi.percentage,fetched_at
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,109457.0,2176518444626,1,2176518444626,32651103716,110237.0,108633.0,1.67,0.00153,2277624328.0,0.10475,19877325.0,19877325.0,21000000.0,111814.0,-2.04515,2025-05-22T18:41:28.492Z,67.81,161423.39766,2013-07-06T00:00:00.000Z,,2025-06-11T09:35:39.777Z,,,,2025-06-11 11:35:41.060674
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2770.67,334431259478,2,334431259478,34117714543,2821.7,2687.14,80.45,2.99029,10441564753.0,3.22281,120722181.5589522,120722181.5589522,,4878.26,-43.25342,2021-11-10T14:24:19.604Z,0.432979,639249.04213,2015-10-20T00:00:00.000Z,,2025-06-11T09:35:39.151Z,32.85940105190315,btc,3285.9401051903146,2025-06-11 11:35:41.060674
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999968,155177578967,3,155177578967,40802276908,1.0,0.999933,-0.0003209181670011,-0.03208,-49010018.914245605,-0.03157,155181610791.2075,155181610791.2075,,1.32,-24.42092,2018-07-24T00:00:00.000Z,0.572521,74.66317,2015-03-02T00:00:00.000Z,,2025-06-11T09:35:35.933Z,,,,2025-06-11 11:35:41.060674
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,672.2,98065811485,5,98065811485,942829688,673.62,659.36,12.17,1.84405,1898498930.0,1.97416,145887575.79,145887575.79,200000000.0,788.84,-14.87073,2024-12-04T10:35:25.220Z,0.0398177,1686428.58481,2017-10-19T00:00:00.000Z,,2025-06-11T09:35:39.060Z,,,,2025-06-11 11:35:41.060674
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,166.14,87370792449,6,100281852338,5091056795,167.13,157.02,7.68,4.84714,4301900546.0,5.17871,525236180.4503501,602852001.3839638,,293.31,-43.15309,2025-01-19T11:15:27.957Z,0.500801,33194.40772,2020-05-11T19:35:23.449Z,,2025-06-11T09:35:38.460Z,,,,2025-06-11 11:35:41.060674
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999768,60940431277,7,60980833181,11817537507,0.999831,0.999703,-2.4175856778275e-05,-0.00242,-20118741.161506653,-0.033,60953446156.31074,60993856688.51815,,1.17,-14.74411,2019-05-08T00:40:28.300Z,0.877647,13.91841,2023-03-11T08:02:13.981Z,,2025-06-11T09:35:34.119Z,,,,2025-06-11 11:35:41.060674
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.201115,30121454267,8,30121454267,1692627898,0.203743,0.190222,0.00955172,4.9862,1518454768.0,5.30873,149638396383.7052,149638396383.7053,,0.731578,-72.44293,2021-05-08T05:08:23.458Z,8.69e-05,231882.52411,2015-05-06T00:00:00.000Z,,2025-06-11T09:35:38.333Z,,,,2025-06-11 11:35:41.060674
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.718715,25940364910,10,32340030872,805871440,0.726712,0.688404,0.02388287,3.43722,920062546.0,3.67726,36095092968.40453,45000000000.0,45000000000.0,3.09,-76.67295,2021-09-02T06:00:10.474Z,0.01925275,3640.16852,2020-03-13T02:22:55.044Z,,2025-06-11T09:35:39.305Z,,,,2025-06-11 11:35:41.060674
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,109268.0,2172213269177,1,2172213269177,32573692638,110237.0,108633.0,-110.54727825960435,-0.10107,-2167968753.2021484,-0.09971,19877325.0,19877325.0,21000000.0,111814.0,-2.15746,2025-05-22T18:41:28.492Z,67.81,161238.2014,2013-07-06T00:00:00.000Z,,2025-06-11T09:52:18.071Z,,,,2025-06-11 11:52:20
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2765.2,334104285806,2,334104285806,34782833103,2821.7,2687.14,77.4,2.87986,9524219623.0,2.93432,120722181.5589522,120722181.5589522,,4878.26,-43.23672,2021-11-10T14:24:19.604Z,0.432979,639437.15315,2015-10-20T00:00:00.000Z,,2025-06-11T09:52:17.940Z,32.83075383539011,btc,3283.075383539011,2025-06-11 11:52:20
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999981,155178659381,3,155178659381,26868212545,1.0,0.999933,-0.0002249631200805,-0.02249,-35491388.114746094,-0.02287,155181610791.2075,155181610791.2075,,1.32,-24.42177,2018-07-24T00:00:00.000Z,0.572521,74.66119,2015-03-02T00:00:00.000Z,,2025-06-11T09:52:14.742Z,,,,2025-06-11 11:52:20
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,671.23,97933973089,5,97933973089,948083301,673.62,659.36,10.96,1.65947,1675895615.0,1.74104,145887575.79,145887575.79,200000000.0,788.84,-14.84355,2024-12-04T10:35:25.220Z,0.0398177,1686966.91056,2017-10-19T00:00:00.000Z,,2025-06-11T09:52:17.743Z,,,,2025-06-11 11:52:20
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,165.52,86913284922,6,99756737469,6258472020,167.13,157.02,6.78,4.26877,3628461355.0,4.35669,525236180.4503501,602852001.3839638,,293.31,-43.50955,2025-01-19T11:15:27.957Z,0.500801,32985.63241,2020-05-11T19:35:23.449Z,,2025-06-11T09:52:17.536Z,,,,2025-06-11 11:52:20
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999763,60939327960,7,60942233141,11999395493,0.999831,0.999703,-2.9363045132569e-05,-0.00294,-19650523.21958924,-0.03224,60951441729.51764,60954347488.07732,,1.17,-14.74692,2019-05-08T00:40:28.300Z,0.877647,13.91465,2023-03-11T08:02:13.981Z,,2025-06-11T09:52:13.129Z,,,,2025-06-11 11:52:20
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.200227,29996676971,8,29996676971,1695759147,0.203743,0.190222,0.00841485,4.38703,1333305035.0,4.6516,149638396383.7052,149638396383.7053,,0.731578,-72.56122,2021-05-08T05:08:23.458Z,8.69e-05,230886.69353,2015-05-06T00:00:00.000Z,,2025-06-11T09:52:16.878Z,,,,2025-06-11 11:52:20
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.715754,25848789085,10,32225862664,806317799,0.726712,0.688404,0.02237369,3.22676,825846005.0,3.30036,36095092968.40453,45000000000.0,45000000000.0,3.09,-76.74043,2021-09-02T06:00:10.474Z,0.01925275,3629.34892,2020-03-13T02:22:55.044Z,,2025-06-11T09:52:17.499Z,,,,2025-06-11 11:52:20
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,109293.0,2171814650269,1,2171814650269,29052380214,110237.0,108633.0,-217.0222916558705,-0.19818,-4960133368.798828,-0.22787,19877325.0,19877325.0,21000000.0,111814.0,-2.25476,2025-05-22T18:41:28.492Z,67.81,161077.75973,2013-07-06T00:00:00.000Z,,2025-06-11T10:21:19.503Z,,,,2025-06-11 12:21:25
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2764.87,333665085926,2,333665085926,32381848813,2821.7,2687.14,71.23,2.64448,8443219756.0,2.59614,120722181.5589522,120722181.5589522,,4878.26,-43.34267,2021-11-10T14:24:19.604Z,0.432979,638243.45849,2015-10-20T00:00:00.000Z,,2025-06-11T10:21:20.216Z,32.82242365383023,btc,3282.242365383023,2025-06-11 12:21:25
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999952,155174822521,3,155174822521,51697452609,1.0,0.999933,-0.0002893357364279,-0.02893,-40125911.414001465,-0.02585,155181610791.2075,155181610791.2075,,1.32,-24.42325,2018-07-24T00:00:00.000Z,0.572521,74.65777,2015-03-02T00:00:00.000Z,,2025-06-11T10:21:17.800Z,,,,2025-06-11 12:21:25
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,669.05,97538639817,5,97538639817,644714972,673.62,659.36,8.37,1.26688,1127314043.0,1.16928,145887575.79,145887575.79,200000000.0,788.84,-15.24617,2024-12-04T10:35:25.220Z,0.0398177,1678990.54762,2017-10-19T00:00:00.000Z,,2025-06-11T10:21:20.451Z,,,,2025-06-11 12:21:25
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,164.8,86563266945,6,99355038367,6286052919,167.13,157.02,5.74,3.60789,3061773820.0,3.66673,525235957.653853,602852001.3839638,,293.31,-43.75098,2025-01-19T11:15:27.957Z,0.500801,32844.23185,2020-05-11T19:35:23.449Z,,2025-06-11T10:21:19.285Z,,,,2025-06-11 12:21:25
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999776,60939231095,7,60940442934,11425704608,0.999831,0.999703,3.566e-05,0.00357,-18156697.198783875,-0.02979,60953135372.48937,60954347488.07732,,1.17,-14.74623,2019-05-08T00:40:28.300Z,0.877647,13.91558,2023-03-11T08:02:13.981Z,,2025-06-11T10:21:15.665Z,,,,2025-06-11 12:21:25
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.199953,29911460896,8,29911460896,1670955815,0.203743,0.190222,0.0079227,4.12576,1175137423.0,4.08938,149638396383.7052,149638396383.7053,,0.731578,-72.67979,2021-05-08T05:08:23.458Z,8.69e-05,229888.50944,2015-05-06T00:00:00.000Z,,2025-06-11T10:21:20.040Z,,,,2025-06-11 12:21:25
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.716454,25864383189,10,32245303940,813170675,0.726712,0.688404,0.02282904,3.29126,799791772.0,3.19092,36095092968.40453,45000000000.0,45000000000.0,3.09,-76.79078,2021-09-02T06:00:10.474Z,0.01925275,3621.277,2020-03-13T02:22:55.044Z,,2025-06-11T10:21:19.743Z,,,,2025-06-11 12:21:25
bitcoin,btc,Bitcoin,https://coin-images.coingecko.com/coins/images/1/large/bitcoin.png?1696501400,109305.0,2172657897718,1,2172663690795,32555076166,110237.0,108633.0,-138.31552933155035,-0.12638,-3227782146.9699707,-0.14834,19877325.0,19877378.0,21000000.0,111814.0,-2.25476,2025-05-22T18:41:28.492Z,67.81,161077.75973,2013-07-06T00:00:00.000Z,,2025-06-11T10:34:50.086Z,,,,2025-06-11 12:34:55
ethereum,eth,Ethereum,https://coin-images.coingecko.com/coins/images/279/large/ethereum.png?1696501628,2767.99,334155701518,2,334155701518,34785790310,2821.7,2687.14,77.5,2.88033,9155381631.0,2.81704,120722181.5589522,120722181.5589522,,4878.26,-43.34267,2021-11-10T14:24:19.604Z,0.432979,638243.45849,2015-10-20T00:00:00.000Z,,2025-06-11T10:34:50.049Z,32.8503840136414,btc,3285.03840136414,2025-06-11 12:34:55
tether,usdt,Tether,https://coin-images.coingecko.com/coins/images/325/large/Tether.png?1696501661,0.999954,155174480773,3,155174480773,38889094691,1.0,0.999933,-0.000302416494252999,-0.03023,-46929243.08828735,-0.03023,155181610791.2075,155181610791.2075,,1.32,-24.42325,2018-07-24T00:00:00.000Z,0.572521,74.65777,2015-03-02T00:00:00.000Z,,2025-06-11T10:34:46.438Z,,,,2025-06-11 12:34:55
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,669.12,97604127323,5,97604127323,961613852,673.62,659.36,8.51,1.28897,1209991436.0,1.25525,145887575.79,145887575.79,200000000.0,788.84,-15.24617,2024-12-04T10:35:25.220Z,0.0398177,1678990.54762,2017-10-19T00:00:00.000Z,,2025-06-11T10:34:50.058Z,,,,2025-06-11 12:34:55
solana,sol,Solana,https://coin-images.coingecko.com/coins/images/4128/large/solana.png?1718769756,164.92,86560235848,6,99351562278,6305946334,167.13,157.02,5.91,3.71975,3032679962.0,3.63075,525235822.462944,602851863.9673319,,293.31,-43.8174,2025-01-19T11:15:27.957Z,0.500801,32805.33037,2020-05-11T19:35:23.449Z,,2025-06-11T10:34:50.213Z,,,,2025-06-11 12:34:55
usd-coin,usdc,USDC,https://coin-images.coingecko.com/coins/images/6319/large/usdc.png?1696506694,0.999756,60937045924,7,60939494488,11762341270,0.999831,0.999703,-4.1101080111572e-05,-0.00411,-23942732.27194214,-0.03928,60951898327.08235,60954347488.07732,,1.17,-14.74623,2019-05-08T00:40:28.300Z,0.877647,13.91558,2023-03-11T08:02:13.981Z,,2025-06-11T10:34:44.903Z,,,,2025-06-11 12:34:55
dogecoin,doge,Dogecoin,https://coin-images.coingecko.com/coins/images/5/large/dogecoin.png?1696501409,0.200114,29948817756,8,29949172006,1682219728,0.203743,0.190222,0.00871748,4.55467,1259540125.0,4.39028,149638396383.7052,149640166383.7052,,0.731578,-72.67979,2021-05-08T05:08:23.458Z,8.69e-05,229888.50944,2015-05-06T00:00:00.000Z,,2025-06-11T10:34:50.823Z,,,,2025-06-11 12:34:55
cardano,ada,Cardano,https://coin-images.coingecko.com/coins/images/975/large/cardano.png?1696502090,0.715651,25819786758,10,32189705264,805600632,0.726712,0.688404,0.02328123,3.36254,800639202.0,3.20011,36095092968.40453,45000000000.0,45000000000.0,3.09,-76.79078,2021-09-02T06:00:10.474Z,0.01925275,3621.277,2020-03-13T02:22:55.044Z,,2025-06-11T10:34:50.698Z,,,,2025-06-11 12:34:55
